Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1859.0,OUT049
FDW14,1578.0,OUT017
NCN55,1888.0,OUT010
FDQ58,2608.0,OUT017
FDY38,5187.0,OUT027
FDH56,1917.0,OUT046
FDL48,593.0,OUT018
FDC48,2785.0,OUT027
FDN33,1508.0,OUT045
FDA36,3078.0,OUT017
FDT44,1995.0,OUT017
FDQ56,1304.0,OUT045
NCC54,1851.0,OUT019
FDU11,2051.0,OUT049
DRL59,894.0,OUT013
FDM24,2565.0,OUT049
FDI57,3086.0,OUT045
DRC12,2762.0,OUT018
NCM42,3199.0,OUT027
FDA46,1134.0,OUT010
FDA31,2804.0,OUT013
NCJ31,3874.0,OUT035
FDG52,805.0,OUT046
NCL19,381.0,OUT019
FDS10,3026.0,OUT035
FDX22,1450.0,OUT010
NCF19,912.0,OUT035
NCE06,2526.0,OUT046
DRC27,3843.0,OUT046
FDE21,2024.0,OUT035
NCR42,-1353.0,OUT019
FDX51,2861.0,OUT018
NCR06,425.0,OUT018
FDU31,4949.0,OUT027
FDU59,2710.0,OUT017
FDR03,4777.0,OUT027
FDS49,2769.0,OUT027
FDD48,-72.0,OUT010
NCF18,3108.0,OUT017
NCD43,3107.0,OUT027
NCD54,1985.0,OUT018
FDY19,-34.0,OUT010
NCY54,2807.0,OUT017
NCL19,2019.0,OUT018
FDP23,1534.0,OUT010
FDC26,1824.0,OUT013
FDR14,-1042.0,OUT010
NCS41,3033.0,OUT035
FDF41,4038.0,OUT035
FDU34,2003.0,OUT046
DRH11,919.0,OUT046
FDM03,1772.0,OUT013
FDS31,3048.0,OUT017
FDJ20,2090.0,OUT017
FDV44,4503.0,OUT027
FDG02,3109.0,OUT049
FDA09,2916.0,OUT013
FDT04,696.0,OUT013
FDL58,2299.0,OUT019
FDE52,1454.0,OUT045
FDW12,2502.0,OUT035
FDL51,3548.0,OUT017
NCY42,3693.0,OUT027
FDR07,1656.0,OUT017
FDN40,2374.0,OUT045
FDB35,2957.0,OUT027
FDA22,2740.0,OUT017
NCL06,4110.0,OUT046
FDI35,2924.0,OUT013
NCW42,3409.0,OUT045
NCX06,2939.0,OUT049
FDC37,3201.0,OUT027
FDZ14,1725.0,OUT018
DRG49,3951.0,OUT049
NCG06,3958.0,OUT045
DRC36,2721.0,OUT045
FDV21,65.0,OUT019
FDB53,2359.0,OUT046
DRP47,2045.0,OUT019
FDA14,2360.0,OUT013
DRC24,2567.0,OUT035
FDW21,1413.0,OUT018
NCH29,1556.0,OUT046
FDU58,3088.0,OUT013
FDY27,2944.0,OUT017
FDV56,1948.0,OUT035
FDT59,3657.0,OUT046
FDB23,3623.0,OUT046
FDR49,696.0,OUT045
FDB03,1908.0,OUT010
FDN39,2616.0,OUT045
FDX02,4993.0,OUT027
FDQ16,3197.0,OUT027
FDU35,1339.0,OUT018
NCT29,1964.0,OUT013
FDZ27,831.0,OUT046
FDN57,2344.0,OUT017
FDA03,2097.0,OUT018
FDZ36,2918.0,OUT045
NCU05,1328.0,OUT013
FDT39,2177.0,OUT018
FDK60,1721.0,OUT017
FDZ25,2856.0,OUT017
FDG12,2039.0,OUT046
DRB01,1133.0,OUT019
NCC43,5383.0,OUT027
FDX13,2041.0,OUT019
FDM22,1035.0,OUT049
FDJ03,2315.0,OUT027
FDU14,3675.0,OUT018
FDB33,626.0,OUT010
FDP27,3005.0,OUT046
